date,idBill,idFood,nameFood,cateName,amount,price,totalPrice
2024-05-01,1,1,Cà phê đen,Cà phê,2,30000,60000
2024-05-01,1,2,Cà phê sữa,Cà phê,1,35000,35000
2024-05-01,2,6,Trà sữa trân châu,Trà sữa,3,45000,135000
2024-05-02,3,1,Cà phê đen,Cà phê,1,30000,30000
2024-05-02,3,9,Socola đá xay,Đá xay,2,50000,100000
2024-05-03,4,3,Bạc xỉu,Cà phê,4,38000,152000
2024-05-03,4,7,Trà sữa matcha,Trà sữa,2,48000,96000
2024-05-04,5,1,Cà phê đen,Cà phê,5,30000,150000
2024-05-05,6,10,Matcha đá xay,Đá xay,1,52000,52000
2024-05-06,7,2,Cà phê sữa,Cà phê,3,35000,105000
2024-05-07,8,4,Americano,Cà phê,2,40000,80000
2024-05-08,9,3,Bạc xỉu,Cà phê,3,38000,114000
2024-05-09,10,6,Trà sữa trân châu,Trà sữa,4,45000,180000
